Dealer ID,Dealer Name,Phone,Address,City,State,Custom Address,Dealer Iframe Map,Zip Code,About Dealer,Dealer Image,Lical Image,Radius,Rating,Review Count,Invnetory Link
D-24787074,Austinite Auto Sales,N/A,904 Wagon Trail,Austin,TX,"Austin, TX",N/A,78758,They stay in contact with you,https://static.cargurus.com/images/site/2022/01/31/17/46/austinite_auto_sales-pic-2178694695932363431-200x200.jpeg,public/uploads/dealer/Austinite-Auto-Sales_Austin_TX.jpg,8 mi,4.5,8,https://www.cargurus.com/Cars/m-Austinite-Auto-Sales-sp352637,1,1
D-24787075,Zoom ATX,N/A,909 Prairie Trl,Austin,TX,"Austin, TX",N/A,78758,No reviews available,https://static.cargurus.com/images/site/2019/09/11/12/28/zoom_atx-pic-4082449742032949119-200x200.jpeg,public/uploads/dealer/Zoom-ATX_Austin_TX.jpg,8 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Zoom-ATX-sp353202,1,1
D-24787076,Swedish Auto Service,N/A,"11008 N Lamar Blvd,  Suite A",Austin,TX,"Austin, TX",N/A,78753,Had a great experience working with Swedish Auto. They were super responsive. I did not end up buying the Range Rover but I did buy a 2018 BMW X5. Great location and staff is super nice.,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/Swedish-Auto-Service_Austin_TX.jpg,8 mi,5.0,3,https://www.cargurus.com/Cars/m-Swedish-Auto-Service-sp440054,1,1
D-24787077,CarMax Austin North,N/A,13300 N. I-35 Service Rd. Southbound,Austin,TX,"Austin, TX",N/A,78753,They provided all the information for the stage of shopping I am in.  More to follow. Thank you!!,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/CarMax-Austin-North_Austin_TX.jpg,9 mi,4.2,4,https://www.cargurus.com/Cars/m-CarMax-Austin-North-sp290808,1,1
D-24787078,Signature Autos,N/A,6403 W Highway 290 W,Austin,TX,"Austin, TX",N/A,78735,Great customer service!!!,https://static.cargurus.com/images/site/2019/02/13/11/49/signature_autos-pic-4837037135163550245-200x200.jpeg,public/uploads/dealer/Signature-Autos_Austin_TX.jpg,9 mi,4.2,6,https://www.cargurus.com/Cars/m-Signature-Autos-sp284773,1,1
D-24787079,Porsche Austin,N/A,9800 Research Blvd,Austin,TX,"Austin, TX",N/A,78759,Nice people.,https://static.cargurus.com/images/site/2018/02/20/15/55/porsche_central_austin-pic-2624110144527431812-200x200.jpeg,public/uploads/dealer/Porsche-Austin_Austin_TX.jpg,9 mi,4.5,13,https://www.cargurus.com/Cars/m-Porsche-Austin-sp67083,1,1
D-24787080,Onion Creek Volkswagen,N/A,10812 S Interstate 35,Austin,TX,"Austin, TX",N/A,78748,No reviews available,https://static.cargurus.com/images/site/2017/11/22/16/28/onion_creek_volkswagen-pic-5406621637855650390-200x200.jpeg,public/uploads/dealer/Onion-Creek-Volkswagen_Austin_TX.jpg,9 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Onion-Creek-Volkswagen-sp344060,1,1
D-24787081,Mercedes Benz of South Austin,N/A,10900 S I-35,Austin,TX,"Austin, TX",N/A,78748,Very responsive and knowledgeable sales team. I had a great experience and purchased the vehicle I had been looking for.,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/Mercedes-Benz-of-South-Austin_Austin_TX.jpg,9 mi,4.9,7,https://www.cargurus.com/Cars/m-Mercedes-Benz-of-South-Austin-sp452682,1,1
D-24787082,Bonillas Auto Sales,N/A,6912 U.S. 290,Austin,TX,"Austin, TX",N/A,78735,Excellent,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/Bonillas-Auto-Sales_Austin_TX.jpg,10 mi,3.0,2,https://www.cargurus.com/Cars/m-Bonillas-Auto-Sales-sp362725,1,1
D-24787083,YOTA RANCH,N/A,11517 Manchaca Rd,Austin,TX,"Austin, TX",N/A,78748,"The dealer texted me (my preferred method) immediately to let me know that 
the vehicle was available and how to reach the sales team directly by phone 
and make an appointment.  I have not done so due to time constraints and 
weather but intend to see if it's still available by this weekend and if they have 
Sunday hours.",https://static.cargurus.com/images/site/2021/09/23/20/10/lone_star_auto_ranch-pic-10043981784686062826-200x200.jpeg,public/uploads/dealer/YOTA-RANCH_Austin_TX.jpg,10 mi,5.0,1,https://www.cargurus.com/Cars/m-YOTA-RANCH-sp409672,1,1
D-24787084,Discount Auto,N/A,"8220 W Highway 71,  500",Austin,TX,"Austin, TX",N/A,78735,"Wonderful sales men, no hassle and pressure from them!",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/Discount-Auto_Austin_TX.jpg,10 mi,5.0,1,https://www.cargurus.com/Cars/m-Discount-Auto-sp352582,1,1
