Dealer ID,Dealer Name,Phone,Address,City,State,Custom Address,Dealer Iframe Map,Zip Code,About Dealer,Dealer Image,Lical Image,Radius,Rating,Review Count,Invnetory Link
D-24787066,Alpha Autoplex,N/A,3090 N Stemmons Fwy,Dallas,TX,"Dallas, TX",N/A,75247,"Hey, just a heads up: I had a pretty frustrating experience with this car dealer recently. I was told by the salesperson, Victoria, that they had a specific car in stock, along with another one I was interested in. But when I got there, they didn't have either car. To make matters worse, Victoria wanted me to fill out an application before I even saw the cars, even though she knew they didn't have them. It felt really shady and left a bad taste in my mouth.",https://static.cargurus.com/images/site/2019/04/11/11/49/alpha_autoplex-pic-9102916795446504888-200x200.jpeg,public/uploads/dealer\Alpha-Autoplex_Dallas_TX.jpg,12 mi,3.0,2,https://www.cargurus.com/Cars/m-Alpha-Autoplex-sp398846,1,1
D-24787067,Premier Collection,N/A,5300 Lemmon Ave,Dallas,TX,"Dallas, TX",N/A,75209,They responded quickly to let me know that the car had been sold.,https://static.cargurus.com/images/site/2020/08/24/10/20/premier_collection-pic-15375360457493894578-200x200.jpeg,public/uploads/dealer\Premier-Collection_Dallas_TX.jpg,12 mi,5.0,1,https://www.cargurus.com/Cars/m-Premier-Collection-sp348205,1,1
D-24787068,Lone Star Carz,N/A,4803 Norma Street,Dallas,TX,"Dallas, TX",N/A,75247,Quick and helpful response. Personal yet efficient buying process. These guys were great to work with.,https://static.cargurus.com/images/site/2022/11/11/16/29/lone_star_carz-pic-17787415750744919739-200x200.jpeg,public/uploads/dealer\Lone-Star-Carz_Dallas_TX.jpg,12 mi,4.5,14,https://www.cargurus.com/Cars/m-Lone-Star-Carz-sp441212,1,1
D-24787069,Clay Cooley Volkswagen of Park Cities,N/A,5555 Lemmon Ave,Dallas,TX,"Dallas, TX",N/A,75209,The dealer responded quickly. The car is beautiful but needed service. I drove over 100mi hoping to purchase that day. Disappointing,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer\Clay-Cooley-Volkswagen-of-Park-Cities_Dallas_TX.jpg,12 mi,4.2,9,https://www.cargurus.com/Cars/m-Clay-Cooley-Volkswagen-of-Park-Cities-sp234088,1,1
D-24787070,Fast Wheels LLC,N/A,3410 Irving Blvd,Dallas,TX,"Dallas, TX",N/A,75247,No reviews available,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer\Fast-Wheels-LLC_Dallas_TX.jpg,12 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Fast-Wheels-LLC-sp456853,1,1
D-24787071,Texas Autos Direct,N/A,"1525 Mariposa Dr,  100",Mesquite,TX,"Mesquite, TX",N/A,75150,They were extremely helpful when I was buy a car answered all my questions. Very professional. They never tried to up sale the car and I got it at the listing price. Overall would buy all my cars from them if service stays this great,https://static.cargurus.com/images/site/2024/06/07/11/58/dallas_drive-pic-16784259039516311954-200x200.jpeg,public/uploads/dealer\Texas-Autos-Direct_Mesquite_TX.jpg,12 mi,4.8,17,https://www.cargurus.com/Cars/m-Texas-Autos-Direct-sp366564,1,1
D-24787072,Planet Ford Dallas,N/A,3333 Inwood Road,Dallas,TX,"Dallas, TX",N/A,75235,Great dealership! They have great customer service!!!,https://static.cargurus.com/images/site/2021/02/24/13/44/planet_ford_dallas-pic-11520087173404622409-200x200.jpeg,public/uploads/dealer\Planet-Ford-Dallas_Dallas_TX.jpg,12 mi,3.7,11,https://www.cargurus.com/Cars/m-Planet-Ford-Dallas-sp327295,1,1
D-24787073,Texas Luxury Auto,N/A,350 South Highway 67,Cedar Hill,TX,"Cedar Hill, TX",N/A,75104,Great Dude,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer\Texas-Luxury-Auto_Cedar Hill_TX.jpg,12 mi,4.0,4,https://www.cargurus.com/Cars/m-Texas-Luxury-Auto-sp371557,1,1
D-24787074,Park Place Volvo,N/A,3515 Inwood Rd,Dallas,TX,"Dallas, TX",N/A,75209,Dealer was quick to respond to my question,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer\Park-Place-Volvo_Dallas_TX.jpg,12 mi,4.9,10,https://www.cargurus.com/Cars/m-Park-Place-Volvo-sp278077,1,1
D-24787075,Palomino Motors,N/A,7021 John Carpenter Freeway.,Dallas,TX,"Dallas, TX",N/A,75247,"Sam provided great communication along with customer service from texting, email, to phone call. 
accommodation was excellent and the car was ready for me to test drive. The listing has accurate 
describe the condition of the car with a few things left out. overall i would buy from this dealership again.
Thank you Sam for all your Help",https://static.cargurus.com/images/site/2017/11/03/16/57/palomino_motors-pic-660513204654778807-200x200.jpeg,public/uploads/dealer\Palomino-Motors_Dallas_TX.jpg,12 mi,4.1,12,https://www.cargurus.com/Cars/m-Palomino-Motors-sp284583,1,1
